"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"28",2016,1,NA,28,"FrRnd",28,"Nationals","Y","Carter Kieboom (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Walton HS (Marietta, GA)","kieboo000car"
"29",2016,1,NA,29,"FrRnd",29,"Nationals","Y","Dane Dunning (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","dunnin000dan"
"30",2016,1,NA,30,"FrRnd",30,"Rangers","Y","Cole Ragans (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","North Florida Christian HS (Tallahassee, FL)","ragans000col"
"31",2016,1,NA,31,"FrRnd",31,"Mets","Y","Anthony Kay (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Connecticut (Storrs, CT)","kay---000ant"
"32",2016,1,NA,32,"FrRnd",32,"Dodgers","Y","Will Smith (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","smith-075wil"
"33",2016,1,NA,33,"FrRnd",33,"Cardinals","Y","Dylan Carlson (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Elk Grove HS (Elk Grove, CA)","carlso000dyl"
"34",2016,1,NA,34,"FrRnd",34,"Cardinals","Y","Dakota Hudson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Mississippi State University (Mississippi State, MS)","hudson000dak"
"35",2016,1,NA,35,"FrRnd",35,"Reds","Y","Taylor Trammell (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Mount Paran Christian School (Kennesaw, GA)","tramme000tay"
"36",2016,1,NA,36,"FrRnd",36,"Dodgers","Y","Jordan Sheffield (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Vanderbilt University (Nashville, TN)","sheffi000jor"
"37",2016,1,NA,37,"FrRnd",37,"Athletics","Y","Daulton Jefferies (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of California, Berkeley (Berkeley, CA)","jeffer000dau"
"38",2016,1,NA,38,"FrRnd",38,"Rockies","Y","Robert Tyler (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Georgia (Athens, GA)","tyler-004rob"
"39",2016,1,NA,39,"FrRnd",39,"Diamondbacks","Y","Anfernee Grier (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Auburn University (Auburn, AL)","grier-000anf"
"40",2016,1,NA,40,"FrRnd",40,"Braves","Y","Joey Wentz (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Shawnee Mission East HS (Prairie Village, KS)","wentz-000joe"
