"","Name","Position","Bat","Throw","Birthdate","Birthplace","bbrid"
"1","Brian Abreu","    Pitcher","Right","Right","June 3, 1999"," San Francisco de Macoris, Domican Republic","abreu-000bri"
"2","Randy Acevedo","    Pitcher","Right","Right","March 14, 1997"," Pimentel, Domican Republic","aceved000ran"
"3","Jason Adam","    Pitcher","Right","Right","August 4, 1991"," Overland Park, KS","adam--001jas"
"4","Al Alburquerque","    Pitcher","Right","Right","June 10, 1986"," San Pedro de Macoris, Domican Republic","alburq001alb"
"5","Adrian Alcantara","    Pitcher","Right","Right","August 29, 1999"," Santo Domgo, Domican Republic","alcant000adr"
"6","Luis Alcantara","    Pitcher","Right","Right","November 1, 1997"," Santo Domgo, Domican Republic","alcant001lui"
